"s";"l";"dl";"dlse";"ds";"dsse"
0;1;0.0163000000000002;0.136820214016979;-0.742;0.120305060564493
0.05;1;0.872766666666667;0.12657896548183;-0.7917;0.114534968669031
0.1;1;1.44443333333333;0.117642838458284;-0.746966666666667;0.109837981521758
0.15;1;1.79601666666667;0.110900239553178;-0.788366666666667;0.103644508974355
0.2;1;2.31161666666667;0.104038633145587;-0.967483333333334;0.0987066921122659
0.3;1;2.58786666666667;0.0944406801718319;-1.01646666666667;0.090259338105572
0.4;1;2.78688333333333;0.0853484795050454;-1.02516666666667;0.0825918170835238
0.5;1;2.57875;0.0784194283890754;-1.01021666666667;0.0773460174393272
0.6;1;1.80155;0.0727851833612486;-1.064;0.0702965038158639
0;1.25;0.15985;0.136910865491356;0.1659;0.120148247091366
0.05;1.25;0.472666666666667;0.126055298070311;0.0470333333333333;0.112663346995364
0.1;1.25;1.0532;0.116641241251037;-0.0115666666666666;0.105108751964475
0.15;1.25;1.61876666666667;0.108276824500214;-0.0351499999999999;0.100958621286501
0.2;1.25;1.7419;0.0999577262553939;-0.158716666666667;0.0941847235216698
0.3;1.25;1.83513333333333;0.0897622994527229;-0.38205;0.0849678985834328
0.4;1.25;1.87883333333333;0.0818350400714111;-0.656433333333333;0.0782207221650791
0.5;1.25;1.57908333333333;0.0741268875042847;-0.676483333333333;0.0712231479482098
0.6;1.25;0.900433333333333;0.0672081287000869;-0.954066666666667;0.0646049168508552
0;1.5;0.120366666666667;0.13462897910959;0.83305;0.119800479672193
0.05;1.5;0.332283333333333;0.124197693693096;0.749183333333333;0.109008556737863
0.1;1.5;0.656066666666667;0.116536494786996;0.443583333333333;0.103245135234281
0.15;1.5;1.23421666666667;0.107733512095776;0.515366666666667;0.0967168123995804
0.2;1.5;1.15481666666667;0.100340673898422;0.0436333333333333;0.0915141937272199
0.3;1.5;1.35978333333333;0.0884310502930204;-0.0217333333333333;0.0815294679137716
0.4;1.5;1.39763333333333;0.0774551901530696;-0.0698666666666667;0.0732181417945785
0.5;1.5;0.9823;0.0701938328216546;-0.396833333333333;0.0664716168361106
0.6;1.5;0.429933333333333;0.0637793354023263;-0.91555;0.060276509898256
0;1.75;-0.105016666666667;0.135773761134118;1.19013333333333;0.117026200771214
0.05;1.75;0.598583333333333;0.124431029743298;1.24045;0.109026697065115
0.1;1.75;0.925366666666667;0.114000969039667;0.927166666666667;0.100850397728214
0.15;1.75;0.879816666666667;0.105449941041451;0.6732;0.0937274879292766
0.2;1.75;0.911333333333333;0.0995669800380977;0.599416666666667;0.0889999164046786
0.3;1.75;1.16161666666667;0.0860713347526661;0.2619;0.0784109516164675
0.4;1.75;0.832466666666667;0.0750210597598855;-0.103433333333333;0.0707051905155557
0.5;1.75;0.5398;0.0689563217961471;-0.49675;0.0646246914537409
0.6;1.75;-0.0266333333333333;0.0623547609369969;-1.09225;0.0561703886452783
0;2;0.04535;0.137980055396853;1.58323333333333;0.116826161695178
0.05;2;0.266466666666667;0.124532732656185;1.40441666666667;0.107770281893192
0.1;2;0.2211;0.114538518739839;1.24131666666667;0.0991355481768781
0.15;2;0.5483;0.105719239971272;1.02343333333333;0.0931542273926375
0.2;2;0.814383333333333;0.0978706204357229;0.795816666666667;0.0865973440314706
0.3;2;0.757633333333333;0.0829495429784559;0.259266666666667;0.0765894299805472
0.4;2;0.429566666666667;0.0751685775917862;-0.0407000000000001;0.0688565507745601
0.5;2;0.181366666666667;0.0688956920712168;-0.581816666666667;0.061771233008447
0.6;2;-0.427433333333333;0.0610381199268819;-1.35348333333333;0.0543719676135557
0;2.5;-0.110016666666667;0.135765442432312;2.20368333333333;0.116415761941803
0.05;2.5;0.323283333333333;0.124699791335437;1.90278333333333;0.108406920331626
0.1;2.5;0.284183333333333;0.112833041119957;1.40876666666667;0.0999825460821198
0.15;2.5;0.435233333333333;0.103235696668223;1.43215;0.0918393708014017
0.2;2.5;0.4695;0.096570795045575;1.23436666666667;0.0841596991231293
0.3;2.5;0.313216666666667;0.0832568728053476;0.609183333333333;0.0751674639518864
0.4;2.5;0.3193;0.0740128538921053;0.0314999999999998;0.0656337641655901
0.5;2.5;-0.163566666666667;0.0676592864219401;-0.95645;0.0604204032135228
0.6;2.5;-0.455933333333333;0.0612456966722513;-1.68108333333333;0.0522734526910815
0;3;-0.083;0.13615651926203;2.71028333333333;0.116906950577198
0.05;3;0.182983333333333;0.124161857821865;2.3213;0.105092192125116
0.1;3;0.191616666666667;0.112555652479199;1.90081666666667;0.0981693674795363
0.15;3;0.22785;0.104258986493778;1.66738333333333;0.0902780532896778
0.2;3;0.160483333333333;0.0953738606430938;1.28313333333333;0.0828271132886825
0.3;3;0.0355333333333334;0.0833693482491582;0.754716666666667;0.0722374721202311
0.4;3;0.0602333333333332;0.0747121985223202;-0.154666666666667;0.0654549729187357
0.5;3;-0.1059;0.0681773789549494;-1.33576666666667;0.0612458757092737
0.6;3;-0.208766666666667;0.0603822051055;-2.03208333333333;0.0505184817655324
